Date,,,,Close
2022-9-30 00:00:00:030,,,,0.34061
2022-9-30 00:00:00:031,,,,0.34061
2022-9-30 00:00:00:032,,,,0.40175
2022-9-30 00:00:00:033,,,,0.19643
2022-9-30 00:00:00:034,,,,0.40351
2022-9-30 00:00:00:035,,,,0.22857
2022-9-30 00:00:00:036,,,,0.37391
2022-9-30 00:00:00:037,,,,0.37555
2022-9-30 00:00:00:038,,,,0.37229
2022-9-30 00:00:00:039,,,,0.37826
2022-9-30 00:00:00:040,,,,0.37555
2022-9-30 00:00:00:041,,,,0.37118
2022-9-30 00:00:00:042,,,,0.37118
2022-9-30 00:00:00:043,,,,0.15476
2022-9-30 00:00:00:044,,,,0.37281
2022-9-30 00:00:00:045,,,,0.22857
2022-9-30 00:00:00:046,,,,0.37391
2022-9-30 00:00:00:047,,,,0.41921
2022-9-30 00:00:00:048,,,,0.41558
2022-9-30 00:00:00:049,,,,0.4087
2022-9-30 00:00:00:050,,,,0.34061
2022-9-30 00:00:00:051,,,,0.34498
2022-9-30 00:00:00:052,,,,0.34061
2022-9-30 00:00:00:053,,,,0.19643
2022-9-30 00:00:00:054,,,,0.39035
2022-9-30 00:00:00:055,,,,0.18286
2022-9-30 00:00:00:056,,,,0.36087
2022-9-30 00:00:00:057,,,,0.36245
2022-9-30 00:00:00:058,,,,0.4026
2022-9-30 00:00:00:059,,,,0.34783
2022-9-30 00:00:00:060,,,,0.34498
2022-10-04 09:58:03:267,,,,0.34934
2022-10-04 14:12:14:342,,,,0.35371
2022-10-04 14:14:11:562,,,,0.1369
2022-10-04 14:19:13:974,,,,0.41228
2022-10-04 20:35:47:219,,,,0.24
2022-10-04 20:36:31:029,,,,0.40435
2022-10-04 20:37:32:249,,,,0.39301
2022-10-04 20:39:48:146,,,,0.39394
2022-10-04 20:40:31:037,,,,0.40435
2022-10-04 20:41:02:553,,,,0.40611
2022-10-04 20:41:14:786,,,,0.40611
2022-10-04 20:41:20:915,,,,0.41048
2022-10-04 20:42:28:317,,,,0.20238
2022-10-04 20:43:30:604,,,,0.40351
2022-10-04 20:43:36:870,,,,0.21143
2022-10-04 20:44:13:789,,,,0.3913
2022-10-04 20:45:21:280,,,,0.40611
2022-10-04 20:46:05:267,,,,0.39827
2022-10-04 20:46:48:141,,,,0.39565
2022-10-04 20:47:00:322,,,,0.39738
2022-10-04 20:47:06:486,,,,0.39738
2022-10-04 20:47:30:947,,,,0.39738
2022-10-04 20:48:02:589,,,,0.19643
2022-10-04 20:52:08:679,,,,0.40351
2022-10-04 20:53:16:889,,,,0.21714
2022-10-04 20:54:30:522,,,,0.3913
2022-10-04 20:54:43:784,,,,0.39301
2022-10-04 23:46:25:680,,,,0.41558
2022-10-04 23:46:31:904,,,,0.37391
2022-10-04 23:47:46:612,,,,0.41048
2022-10-05 00:00:00:000,,,,0.45852
2022-10-05 06:51:51:848,,,,0.56769
2022-10-05 08:08:05:395,,,,0.20833
2022-10-05 08:09:32:041,,,,0.41228
2022-10-05 08:09:38:212,,,,0.23429
2022-10-05 08:11:11:181,,,,0.4
2022-10-05 08:11:48:127,,,,0.39738
2022-10-05 10:49:12:238,,,,0.39394
2022-10-05 14:13:35:158,,,,0.3913
2022-10-06 00:00:00:000,,,,0.39738
2022-10-06 12:23:39:952,,,,0.40611
2022-10-06 13:20:03:418,,,,0.40175
2022-10-06 13:23:15:921,,,,0.19048
2022-10-06 15:58:59:336,,,,0.5
2022-10-07 00:00:00:000,,,,0.36
2022-10-07 14:52:01:453,,,,0.5087
2022-10-07 15:07:47:690,,,,0.50655
2022-10-07 23:23:00:724,,,,0.49351
2022-10-07 23:23:07:486,,,,0.49565
2022-10-07 23:30:00:358,,,,0.49345
2022-10-07 23:30:07:065,,,,0.51965
2022-10-07 23:30:19:001,,,,0.51965
2022-10-07 23:30:56:134,,,,0.74589
2022-10-07 23:31:33:347,,,,0.95687
2022-10-07 23:31:45:104,,,,1.2698
2022-10-08 00:00:00:000,,,,1.3654
2022-10-08 06:17:57:883,,,,0.986578
2022-10-08 06:18:04:723,,,,0.569415
2022-10-08 06:18:11:519,,,,0.39565
2022-10-08 06:18:16:537,,,,0.39301
2022-10-08 06:18:23:356,,,,0.38428
2022-10-08 06:18:30:096,,,,0.38428
2022-10-08 06:18:35:225,,,,0.17262
2022-10-08 06:18:42:022,,,,0.39035
2022-10-08 06:18:48:799,,,,0.21143
2022-10-08 06:18:53:910,,,,0.38696
2022-10-08 06:19:00:605,,,,0.38865
2022-10-08 06:19:05:747,,,,0.38961
2022-10-08 06:19:12:499,,,,0.3913
2022-10-08 06:19:19:294,,,,0.38865
2022-10-08 06:19:24:457,,,,0.39301
2022-10-08 06:19:31:195,,,,0.40175
2022-10-08 06:19:38:025,,,,0.17857
2022-10-08 06:19:49:858,,,,0.42982
2022-10-08 06:19:56:645,,,,0.28571
2022-10-08 06:20:20:361,,,,0.44783
2022-10-08 07:06:38:120,,,,0.45415
2022-10-08 07:06:44:883,,,,0.43723
2022-10-08 22:19:06:878,,,,0.39565
2022-10-08 22:19:32:308,,,,0.39738
2022-10-08 22:19:37:448,,,,0.41921
2022-10-08 22:21:05:286,,,,0.41485
2022-10-08 22:21:54:404,,,,0.21429
2022-10-08 22:22:06:339,,,,0.42105
2022-10-08 22:23:44:326,,,,0.24571
2022-10-09 00:00:00:000,,,,0.4913
2022-10-09 01:44:18:289,,,,0.44978
2022-10-09 01:45:07:371,,,,0.38528
2022-10-09 01:45:56:432,,,,0.39565
2022-10-09 10:37:57:392,,,,0.39301
2022-10-09 11:05:58:863,,,,0.41921
2022-10-09 11:09:44:209,,,,0.41921
2022-10-09 11:10:07:932,,,,0.22024
2022-10-10 00:00:00:000,,,,0.38596
2022-10-10 10:41:41:572,,,,0.2
2022-10-10 11:41:06:981,,,,0.37826
2022-10-10 20:59:06:282,,,,0.38428
2022-10-10 20:59:13:039,,,,0.38095
2022-10-10 20:59:19:841,,,,0.43043
2022-10-10 20:59:24:919,,,,0.42358
2022-10-10 20:59:31:721,,,,0.42795
2022-10-10 20:59:36:751,,,,0.41921
2022-10-10 20:59:43:613,,,,0.21429
2022-10-10 20:59:50:437,,,,0.42105
2022-10-10 20:59:55:481,,,,0.24
2022-10-10 21:00:02:296,,,,0.41739
2022-10-10 21:00:09:107,,,,0.41485
2022-10-10 21:00:14:173,,,,0.40693
2022-10-10 21:00:27:833,,,,0.42174
2022-10-10 21:00:44:755,,,,0.42358
2022-10-10 21:01:10:153,,,,0.44541
2022-10-11 00:00:00:000,,,,0.44541
2022-10-11 11:39:42:679,,,,0.22619
2022-10-11 11:39:45:856,,,,0.39912
2022-10-11 11:39:49:261,,,,0.20571
2022-10-11 11:39:52:675,,,,0.38261
2022-10-11 11:39:56:128,,,,0.8869
2022-10-11 11:39:59:518,,,,0.89035
2022-10-11 11:40:01:218,,,,0.88
2022-10-11 11:40:04:616,,,,0.92174
2022-10-11 11:40:08:026,,,,0.95197
2022-10-11 11:40:11:423,,,,0.94805
2022-10-11 11:40:14:807,,,,0.94783
2022-10-11 11:40:16:595,,,,0.95197
2022-10-11 11:40:20:044,,,,0.95633
2022-10-11 11:40:23:349,,,,0.95633
2022-10-11 11:40:26:788,,,,0.95833
2022-10-11 11:40:30:224,,,,0.96491
2022-10-11 11:40:35:257,,,,0.95429
2022-10-11 11:40:42:058,,,,0.94348
2022-10-11 11:40:48:832,,,,1
2022-10-11 11:40:53:707,,,,1
2022-10-11 11:41:00:677,,,,1
2022-10-11 11:41:07:456,,,,1
2022-10-11 11:41:12:559,,,,1
2022-10-11 11:41:19:347,,,,1
2022-10-11 11:41:24:545,,,,1
2022-10-11 11:41:31:353,,,,1
2022-10-11 11:41:38:106,,,,1
2022-10-11 11:41:43:269,,,,1
2022-10-11 11:41:50:053,,,,0.99563
2022-10-11 11:41:56:857,,,,0.98701
2022-10-11 11:42:01:958,,,,0.9087
2022-10-11 11:42:08:751,,,,0.68744
2022-10-11 11:42:20:595,,,,0.19429
2022-10-11 11:42:46:117,,,,0.37826
2022-10-11 21:51:36:480,,,,0.37991
2022-10-11 21:51:43:299,,,,0.38528
2022-10-11 21:52:01:910,,,,0.40435
2022-10-11 21:52:06:977,,,,0.39738
2022-10-11 21:52:13:749,,,,0.39301
2022-10-11 21:52:20:589,,,,0.39301
2022-10-11 21:52:25:655,,,,0.17857
2022-10-11 21:52:32:376,,,,0.42544
2022-10-11 21:52:39:190,,,,0.20571
2022-10-11 21:52:51:092,,,,0.3913
2022-10-11 21:53:14:904,,,,0.39738
2022-10-12 00:00:00:000,,,,0.39394
2022-10-12 21:27:03:723,,,,0.39565
2022-10-12 21:27:10:622,,,,0.41485
2022-10-12 21:27:17:463,,,,0.41485
2022-10-12 21:27:22:618,,,,0.40611
2022-10-12 21:27:29:285,,,,0.20238
2022-10-12 21:27:36:063,,,,0.40789
2022-10-12 21:27:41:248,,,,0.23429
2022-10-12 21:27:47:953,,,,0.43913
2022-10-12 21:27:59:760,,,,0.37991
2022-10-12 21:28:11:696,,,,0.37662
2022-10-12 21:28:30:345,,,,0.44783
2022-10-12 21:33:52:702,,,,0.43231
2022-10-12 21:34:23:232,,,,0.47598
2022-10-12 21:34:41:871,,,,0.44541
2022-10-12 21:35:00:482,,,,0.34524
2022-10-13 00:00:00:000,,,,0.44298
2022-10-13 05:34:25:213,,,,0.29143
2022-10-13 05:34:30:227,,,,0.44348
2022-10-13 05:34:42:310,,,,0.44541
2022-10-13 05:34:55:871,,,,0.43723
2022-10-13 05:35:19:579,,,,0.43043
2022-10-13 12:41:26:564,,,,0.43231
2022-10-13 12:41:32:299,,,,0.43231
2022-10-13 12:41:38:374,,,,0.42358
2022-10-13 12:41:45:214,,,,0.2619
2022-10-13 12:41:52:054,,,,0.45614
2022-10-13 12:41:57:156,,,,0.29714
2022-10-13 12:42:03:050,,,,0.46087
2022-10-13 12:42:09:880,,,,0.46725
2022-10-13 12:42:16:613,,,,0.44589
2022-10-13 12:42:21:754,,,,0.44783
2022-10-13 12:42:28:472,,,,0.46725
2022-10-13 12:42:35:329,,,,0.43231
2022-10-13 12:42:40:406,,,,0.41485
2022-10-13 12:42:52:418,,,,0.20833
2022-10-13 12:43:05:292,,,,0.41228
2022-10-13 12:43:23:833,,,,0.21714
2022-10-14 00:00:00:000,,,,0.40435
2022-10-15 00:00:00:000,,,,0.43668
2022-10-15 05:31:25:943,,,,0.41126
2022-10-15 05:32:10:006,,,,0.41739
2022-10-15 05:32:16:798,,,,0.40611
2022-10-15 05:32:52:326,,,,0.42358
2022-10-15 05:33:05:950,,,,0.42358
2022-10-15 08:10:55:217,,,,0.24405
2022-10-15 09:12:08:669,,,,0.40789
2022-10-15 09:21:08:788,,,,0.30857
2022-10-15 16:13:01:993,,,,0.45652
2022-10-15 16:31:27:479,,,,0.45852
2022-10-15 19:58:36:729,,,,0.45455
2022-10-15 21:12:22:205,,,,0.45652
2022-10-15 21:12:29:006,,,,0.45415
2022-10-15 21:19:53:908,,,,0.45852
2022-10-15 21:20:05:835,,,,0.45415
2022-10-15 21:28:31:750,,,,0.30357
2022-10-15 21:30:11:564,,,,0.4693
2022-10-15 21:30:30:263,,,,0.25143
2022-10-15 21:30:35:319,,,,0.45652
2022-10-15 21:34:35:649,,,,0.90393
2022-10-15 21:35:12:880,,,,0.90393
2022-10-15 21:35:45:023,,,,0.90393
2022-10-15 21:36:08:661,,,,0.88095
2022-10-15 21:43:08:446,,,,0.90789
2022-10-15 21:43:45:682,,,,0.87429
2022-10-15 21:50:52:168,,,,0.9
2022-10-15 21:51:29:419,,,,0.89956
2022-10-15 21:51:34:467,,,,0.89177
2022-10-15 21:51:53:163,,,,0.89565
2022-10-15 21:54:15:550,,,,0.89956
2022-10-15 21:54:40:958,,,,0.89956
2022-10-15 21:55:36:161,,,,0.8952
2022-10-15 21:55:42:979,,,,0.86905
2022-10-15 21:55:54:786,,,,0.89912
2022-10-15 21:57:01:674,,,,0.86857
2022-10-15 21:58:41:892,,,,0.8913
2022-10-15 21:58:47:008,,,,0.89083
2022-10-15 22:00:26:021,,,,0.88312
2022-10-15 22:04:26:203,,,,0.88696
2022-10-15 22:04:33:014,,,,0.89083
2022-10-15 22:21:01:104,,,,0.89083
2022-10-15 22:21:13:015,,,,0.89083
2022-10-15 22:22:20:635,,,,0.86905
2022-10-15 22:22:39:214,,,,0.89912
2022-10-15 22:24:12:356,,,,0.88
2022-10-15 22:24:19:170,,,,0.89565
2022-10-15 22:26:59:809,,,,0.48684
2022-10-15 22:27:11:637,,,,0.33143
2022-10-15 22:48:17:490,,,,0.48261
2022-10-15 22:48:22:645,,,,0.44978
2022-10-15 22:53:51:062,,,,0.44589
2022-10-15 22:53:56:131,,,,0.44783
2022-10-15 22:57:19:495,,,,0.45852
2022-10-15 22:57:26:288,,,,0.44105
2022-10-15 22:57:38:189,,,,0.44541
2022-10-15 22:58:03:535,,,,0.30952
2022-10-15 22:58:15:520,,,,0.44298
2022-10-15 22:58:34:132,,,,0.26286
2022-10-15 22:58:40:905,,,,0.46522
2022-10-16 00:00:00:000,,,,0.44541
2022-10-16 03:33:11:030,,,,0.43723
2022-10-16 03:33:43:130,,,,0.43913
2022-10-16 03:39:47:293,,,,0.44105
2022-10-16 03:42:40:009,,,,0.43668
2022-10-16 03:45:51:314,,,,0.43668
2022-10-16 03:45:58:096,,,,0.2381
2022-10-16 03:48:13:413,,,,0.4386
2022-10-16 03:48:37:075,,,,0.27429
2022-10-16 03:49:46:499,,,,0.42174
2022-10-16 03:49:51:658,,,,0.36245
2022-10-16 03:50:03:514,,,,0.39394
2022-10-16 03:50:22:186,,,,0.46957
2022-10-16 03:50:47:513,,,,0.46725
2022-10-16 03:50:54:318,,,,0.46725
2022-10-16 03:53:46:919,,,,0.48472
2022-10-16 03:55:06:667,,,,0.30357
2022-10-16 03:56:39:770,,,,0.48246
2022-10-16 03:57:28:939,,,,0.32571
2022-10-16 03:58:43:468,,,,0.46522
2022-10-16 03:59:02:159,,,,0.42795
2022-10-16 03:59:07:168,,,,0.41558
2022-10-16 04:03:07:912,,,,0.41739
2022-10-16 04:03:14:740,,,,0.41485
2022-10-16 04:04:34:440,,,,0.41485
2022-10-16 09:09:27:975,,,,0.41048
2022-10-16 09:09:44:851,,,,0.20833
2022-10-16 09:11:06:181,,,,0.42105
2022-10-16 09:11:48:565,,,,0.24
2022-10-16 09:11:55:279,,,,0.41739
2022-10-16 09:13:40:123,,,,0.41485
2022-10-16 09:13:46:871,,,,0.41558
2022-10-16 09:14:29:178,,,,0.41304
2022-10-16 09:14:54:529,,,,0.41485
2022-10-16 15:52:55:279,,,,0.41485
2022-10-16 15:53:00:392,,,,0.41485
2022-10-16 15:53:13:881,,,,0.22619
2022-10-17 00:00:00:000,,,,0.42544
2022-10-17 00:08:39:042,,,,0.24571
2022-10-17 06:26:54:131,,,,0.41739
2022-10-17 06:27:00:887,,,,0.41921
2022-10-17 06:27:24:679,,,,0.4026
2022-10-17 08:45:42:607,,,,0.41739
2022-10-17 08:45:42:608,,,,0.41048
2022-10-17 08:45:42:609,,,,0.41485
2022-10-17 08:45:42:610,,,,0.47162
2022-10-17 08:45:42:611,,,,0.25595
2022-10-17 08:45:42:612,,,,0.41228
2022-10-17 08:45:42:613,,,,0.23429
2022-10-17 08:45:42:614,,,,0.41739
2022-10-17 08:45:42:615,,,,0.41485
2022-10-17 08:45:42:616,,,,0.41126
2022-10-17 08:45:42:617,,,,0.41304
2022-10-17 08:45:42:618,,,,0.41048
2022-10-17 08:45:42:619,,,,0.41048
2022-10-17 08:45:42:620,,,,0.38428
2022-10-17 08:45:42:621,,,,0.17262
2022-10-17 08:45:42:622,,,,0.38158
2022-10-17 08:45:42:623,,,,0.21143
2022-10-17 08:45:42:624,,,,0.3913
2022-10-17 08:45:42:625,,,,0.39301
2022-10-17 08:45:42:626,,,,0.38961
2022-10-17 08:45:42:627,,,,0.39565
2022-10-17 08:45:42:628,,,,0.39738
2022-10-17 08:45:42:629,,,,0.39301
2022-10-17 08:45:42:630,,,,0.39738
2022-10-17 08:45:42:631,,,,0.18452
2022-10-17 08:45:42:632,,,,0.40351
2022-10-17 08:45:42:633,,,,0.20571
2022-10-17 08:45:42:634,,,,0.3913
2022-10-17 08:45:42:635,,,,0.38428
2022-10-17 08:45:42:636,,,,0.42857
2022-10-17 08:45:42:637,,,,0.42174
2022-10-17 08:45:42:638,,,,0.41921
2022-10-17 08:45:42:639,,,,0.41921
2022-10-17 08:45:42:640,,,,0.41921
2022-10-17 08:45:42:641,,,,0.20238
2022-10-17 08:45:42:642,,,,0.40789
2022-10-17 08:45:42:643,,,,0.22857
2022-10-17 08:45:42:644,,,,0.40435
2022-10-17 08:45:42:645,,,,0.40175
2022-10-17 08:45:42:646,,,,0.39827
2022-10-17 08:45:42:647,,,,0.3913
2022-10-17 08:45:42:648,,,,0.40175
2022-10-17 08:45:42:649,,,,0.40175
2022-10-17 08:45:42:650,,,,0.40175
2022-10-17 08:45:42:651,,,,0.19048
2022-10-17 08:45:42:652,,,,0.39912
2022-10-17 08:45:42:653,,,,0.20571
2022-10-17 08:45:42:654,,,,0.39565
2022-10-17 08:45:42:655,,,,0.39301
2022-10-17 08:45:42:656,,,,0.39394
2022-10-17 08:45:42:657,,,,0.3913
2022-10-17 08:45:42:658,,,,0.38865
2022-10-17 08:45:42:659,,,,0.39301
2022-10-17 08:45:42:660,,,,0.42795
2022-10-17 08:45:42:661,,,,0.19643
2022-10-17 08:45:42:662,,,,0.39912
2022-10-17 08:45:42:663,,,,0.20571
2022-10-17 08:45:42:664,,,,0.38696
2022-10-17 08:45:42:665,,,,0.41921
2022-10-17 08:45:42:666,,,,0.42424
2022-10-17 08:45:42:667,,,,0.43043
2022-10-17 08:45:42:668,,,,0.43231
2022-10-17 08:45:42:669,,,,0.44105
2022-10-17 08:45:42:670,,,,0.44105
2022-10-17 08:45:42:671,,,,0.24405
2022-10-17 08:45:42:672,,,,0.42105
2022-10-17 08:45:42:673,,,,0.25714
2022-10-17 08:45:42:674,,,,0.43478
2022-10-17 08:45:42:675,,,,0.43668
